Время	x1	x2	x3	y
0.381000	0.003290	0.000005	0.000001	0.000001
0.382000	0.003298	0.000005	0.000001	0.000001
0.383000	0.003306	0.000005	0.000001	0.000001
0.384000	0.003314	0.000005	0.000001	0.000001
0.385000	0.003322	0.000006	0.000001	0.000001
0.386000	0.003330	0.000006	0.000001	0.000001
0.387000	0.003338	0.000006	0.000001	0.000001
0.388000	0.003346	0.000006	0.000001	0.000001
0.389000	0.003354	0.000006	0.000001	0.000001
0.390000	0.003362	0.000006	0.000001	0.000001
0.391000	0.003370	0.000006	0.000001	0.000001
0.392000	0.003378	0.000006	0.000001	0.000001
0.393000	0.003386	0.000006	0.000001	0.000001
0.394000	0.003394	0.000006	0.000001	0.000001
0.395000	0.003402	0.000006	0.000001	0.000001
0.396000	0.003410	0.000006	0.000001	0.000001
0.397000	0.003418	0.000006	0.000001	0.000001
0.398000	0.003426	0.000006	0.000001	0.000001
0.399000	0.003434	0.000006	0.000001	0.000001
0.400000	0.003442	0.000006	0.000001	0.000001
0.401000	0.003450	0.000006	0.000001	0.000001
0.402000	0.003458	0.000006	0.000001	0.000001
0.403000	0.003466	0.000006	0.000001	0.000001
0.404000	0.003474	0.000006	0.000001	0.000001
0.405000	0.003482	0.000006	0.000001	0.000001
0.406000	0.003490	0.000006	0.000001	0.000001
0.407000	0.003498	0.000006	0.000001	0.000001
0.408000	0.003506	0.000006	0.000001	0.000001
0.409000	0.003514	0.000006	0.000001	0.000001
0.410000	0.003522	0.000006	0.000001	0.000001
0.411000	0.003530	0.000006	0.000001	0.000001
0.412000	0.003538	0.000006	0.000001	0.000001
0.413000	0.003546	0.000006	0.000001	0.000001
0.414000	0.003554	0.000006	0.000001	0.000001
0.415000	0.003562	0.000006	0.000001	0.000001
0.416000	0.003570	0.000006	0.000001	0.000001
0.417000	0.003578	0.000006	0.000001	0.000001
0.418000	0.003586	0.000006	0.000001	0.000001
0.419000	0.003594	0.000006	0.000001	0.000001
0.420000	0.003602	0.000007	0.000001	0.000001
0.421000	0.003609	0.000007	0.000001	0.000001
0.422000	0.003617	0.000007	0.000001	0.000001
0.423000	0.003625	0.000007	0.000001	0.000001
0.424000	0.003633	0.000007	0.000001	0.000001
0.425000	0.003641	0.000007	0.000001	0.000001
0.426000	0.003649	0.000007	0.000001	0.000001
0.427000	0.003657	0.000007	0.000001	0.000001
0.428000	0.003665	0.000007	0.000001	0.000001
0.429000	0.003673	0.000007	0.000001	0.000001
0.430000	0.003681	0.000007	0.000001	0.000001
0.431000	0.003689	0.000007	0.000001	0.000001
0.432000	0.003696	0.000007	0.000001	0.000001
0.433000	0.003704	0.000007	0.000001	0.000001
0.434000	0.003712	0.000007	0.000001	0.000001
0.435000	0.003720	0.000007	0.000001	0.000001
0.436000	0.003728	0.000007	0.000001	0.000001
0.437000	0.003736	0.000007	0.000001	0.000001
0.438000	0.003744	0.000007	0.000001	0.000001
0.439000	0.003752	0.000007	0.000001	0.000001
0.440000	0.003759	0.000007	0.000001	0.000001
0.441000	0.003767	0.000007	0.000001	0.000001
0.442000	0.003775	0.000007	0.000001	0.000001
0.443000	0.003783	0.000007	0.000001	0.000001
0.444000	0.003791	0.000007	0.000001	0.000001
0.445000	0.003799	0.000007	0.000001	0.000001
0.446000	0.003807	0.000007	0.000001	0.000001
0.447000	0.003814	0.000007	0.000001	0.000001
0.448000	0.003822	0.000007	0.000001	0.000001
0.449000	0.003830	0.000007	0.000001	0.000001
0.450000	0.003838	0.000007	0.000001	0.000001
0.451000	0.003846	0.000007	0.000001	0.000001
0.452000	0.003854	0.000008	0.000001	0.000001
0.453000	0.003861	0.000008	0.000001	0.000001
0.454000	0.003869	0.000008	0.000001	0.000001
0.455000	0.003877	0.000008	0.000001	0.000001
0.456000	0.003885	0.000008	0.000001	0.000001
0.457000	0.003893	0.000008	0.000001	0.000001
0.458000	0.003901	0.000008	0.000001	0.000001
0.459000	0.003908	0.000008	0.000001	0.000001
0.460000	0.003916	0.000008	0.000001	0.000001
0.461000	0.003924	0.000008	0.000001	0.000001
0.462000	0.003932	0.000008	0.000001	0.000001
0.463000	0.003940	0.000008	0.000001	0.000001
0.464000	0.003947	0.000008	0.000001	0.000001
0.465000	0.003955	0.000008	0.000001	0.000001
0.466000	0.003963	0.000008	0.000001	0.000001
0.467000	0.003971	0.000008	0.000001	0.000001
0.468000	0.003979	0.000008	0.000001	0.000001
0.469000	0.003986	0.000008	0.000001	0.000001
0.470000	0.003994	0.000008	0.000001	0.000001
0.471000	0.004002	0.000008	0.000001	0.000001
0.472000	0.004010	0.000008	0.000001	0.000001
0.473000	0.004017	0.000008	0.000001	0.000001
0.474000	0.004025	0.000008	0.000001	0.000001
0.475000	0.004033	0.000008	0.000001	0.000001
0.476000	0.004041	0.000008	0.000001	0.000001
0.477000	0.004049	0.000008	0.000001	0.000001
0.478000	0.004056	0.000008	0.000001	0.000001
0.479000	0.004064	0.000008	0.000001	0.000001
0.480000	0.004072	0.000008	0.000001	0.000001
0.481000	0.004080	0.000008	0.000001	0.000001
0.482000	0.004087	0.000009	0.000001	0.000001
0.483000	0.004095	0.000009	0.000001	0.000001
0.484000	0.004103	0.000009	0.000001	0.000001
0.485000	0.004111	0.000009	0.000001	0.000001
0.486000	0.004118	0.000009	0.000001	0.000001
0.487000	0.004126	0.000009	0.000001	0.000001
0.488000	0.004134	0.000009	0.000001	0.000001
0.489000	0.004141	0.000009	0.000001	0.000001
0.490000	0.004149	0.000009	0.000001	0.000001
0.491000	0.004157	0.000009	0.000001	0.000001
0.492000	0.004165	0.000009	0.000001	0.000001
0.493000	0.004172	0.000009	0.000001	0.000001
0.494000	0.004180	0.000009	0.000002	0.000002
0.495000	0.004188	0.000009	0.000002	0.000002
0.496000	0.004195	0.000009	0.000002	0.000002
0.497000	0.004203	0.000009	0.000002	0.000002
0.498000	0.004211	0.000009	0.000002	0.000002
0.499000	0.004219	0.000009	0.000002	0.000002
0.500000	0.004226	0.000009	0.000002	0.000002
0.501000	0.004234	0.000009	0.000002	0.000002
0.502000	0.004242	0.000009	0.000002	0.000002
0.503000	0.004249	0.000009	0.000002	0.000002
0.504000	0.004257	0.000009	0.000002	0.000002
0.505000	0.004265	0.000009	0.000002	0.000002
0.506000	0.004272	0.000009	0.000002	0.000002
0.507000	0.004280	0.000009	0.000002	0.000002
0.508000	0.004288	0.000009	0.000002	0.000002
0.509000	0.004295	0.000009	0.000002	0.000002
0.510000	0.004303	0.000009	0.000002	0.000002
0.511000	0.004311	0.000010	0.000002	0.000002
0.512000	0.004318	0.000010	0.000002	0.000002
0.513000	0.004326	0.000010	0.000002	0.000002
0.514000	0.004334	0.000010	0.000002	0.000002
0.515000	0.004341	0.000010	0.000002	0.000002
0.516000	0.004349	0.000010	0.000002	0.000002
0.517000	0.004357	0.000010	0.000002	0.000002
0.518000	0.004364	0.000010	0.000002	0.000002
0.519000	0.004372	0.000010	0.000002	0.000002
0.520000	0.004380	0.000010	0.000002	0.000002
0.521000	0.004387	0.000010	0.000002	0.000002
0.522000	0.004395	0.000010	0.000002	0.000002
0.523000	0.004402	0.000010	0.000002	0.000002
0.524000	0.004410	0.000010	0.000002	0.000002
0.525000	0.004418	0.000010	0.000002	0.000002
0.526000	0.004425	0.000010	0.000002	0.000002
0.527000	0.004433	0.000010	0.000002	0.000002
0.528000	0.004441	0.000010	0.000002	0.000002
0.529000	0.004448	0.000010	0.000002	0.000002
0.530000	0.004456	0.000010	0.000002	0.000002
0.531000	0.004463	0.000010	0.000002	0.000002
0.532000	0.004471	0.000010	0.000002	0.000002
0.533000	0.004479	0.000010	0.000002	0.000002
0.534000	0.004486	0.000010	0.000002	0.000002
0.535000	0.004494	0.000010	0.000002	0.000002
0.536000	0.004501	0.000010	0.000002	0.000002
0.537000	0.004509	0.000010	0.000002	0.000002
0.538000	0.004517	0.000010	0.000002	0.000002
0.539000	0.004524	0.000011	0.000002	0.000002
0.540000	0.004532	0.000011	0.000002	0.000002
0.541000	0.004539	0.000011	0.000002	0.000002
0.542000	0.004547	0.000011	0.000002	0.000002
0.543000	0.004554	0.000011	0.000002	0.000002
0.544000	0.004562	0.000011	0.000002	0.000002
0.545000	0.004570	0.000011	0.000002	0.000002
0.546000	0.004577	0.000011	0.000002	0.000002
0.547000	0.004585	0.000011	0.000002	0.000002
0.548000	0.004592	0.000011	0.000002	0.000002
0.549000	0.004600	0.000011	0.000002	0.000002
0.550000	0.004607	0.000011	0.000002	0.000002
0.551000	0.004615	0.000011	0.000002	0.000002
0.552000	0.004622	0.000011	0.000002	0.000002
0.553000	0.004630	0.000011	0.000002	0.000002
0.554000	0.004638	0.000011	0.000002	0.000002
0.555000	0.004645	0.000011	0.000002	0.000002
0.556000	0.004653	0.000011	0.000002	0.000002
0.557000	0.004660	0.000011	0.000002	0.000002
0.558000	0.004668	0.000011	0.000002	0.000002
0.559000	0.004675	0.000011	0.000002	0.000002
0.560000	0.004683	0.000011	0.000002	0.000002
0.561000	0.004690	0.000011	0.000002	0.000002
0.562000	0.004698	0.000011	0.000002	0.000002
0.563000	0.004705	0.000011	0.000002	0.000002
0.564000	0.004713	0.000011	0.000002	0.000002
0.565000	0.004720	0.000012	0.000002	0.000002
0.566000	0.004728	0.000012	0.000002	0.000002
0.567000	0.004735	0.000012	0.000002	0.000002
0.568000	0.004743	0.000012	0.000002	0.000002
0.569000	0.004750	0.000012	0.000002	0.000002
0.570000	0.004758	0.000012	0.000002	0.000002
0.571000	0.004765	0.000012	0.000002	0.000002
0.572000	0.004773	0.000012	0.000002	0.000002
0.573000	0.004780	0.000012	0.000002	0.000002
0.574000	0.004788	0.000012	0.000002	0.000002
0.575000	0.004795	0.000012	0.000002	0.000002
0.576000	0.004803	0.000012	0.000002	0.000002
0.577000	0.004810	0.000012	0.000002	0.000002
0.578000	0.004818	0.000012	0.000002	0.000002
0.579000	0.004825	0.000012	0.000002	0.000002
0.580000	0.004833	0.000012	0.000002	0.000002
0.581000	0.004840	0.000012	0.000002	0.000002
0.582000	0.004848	0.000012	0.000002	0.000002
0.583000	0.004855	0.000012	0.000002	0.000002
0.584000	0.004863	0.000012	0.000002	0.000002
0.585000	0.004870	0.000012	0.000002	0.000002
0.586000	0.004877	0.000012	0.000002	0.000002
0.587000	0.004885	0.000012	0.000002	0.000002
0.588000	0.004892	0.000012	0.000002	0.000002
0.589000	0.004900	0.000012	0.000003	0.000003
0.590000	0.004907	0.000012	0.000003	0.000003
0.591000	0.004915	0.000013	0.000003	0.000003
0.592000	0.004922	0.000013	0.000003	0.000003
0.593000	0.004930	0.000013	0.000003	0.000003
0.594000	0.004937	0.000013	0.000003	0.000003
0.595000	0.004944	0.000013	0.000003	0.000003
0.596000	0.004952	0.000013	0.000003	0.000003
0.597000	0.004959	0.000013	0.000003	0.000003
0.598000	0.004967	0.000013	0.000003	0.000003
0.599000	0.004974	0.000013	0.000003	0.000003
0.600000	0.004982	0.000013	0.000003	0.000003
0.601000	0.004989	0.000013	0.000003	0.000003
0.602000	0.004996	0.000013	0.000003	0.000003
0.603000	0.005004	0.000013	0.000003	0.000003
0.604000	0.005011	0.000013	0.000003	0.000003
0.605000	0.005019	0.000013	0.000003	0.000003
0.606000	0.005026	0.000013	0.000003	0.000003
0.607000	0.005033	0.000013	0.000003	0.000003
0.608000	0.005041	0.000013	0.000003	0.000003
0.609000	0.005048	0.000013	0.000003	0.000003
0.610000	0.005056	0.000013	0.000003	0.000003
0.611000	0.005063	0.000013	0.000003	0.000003
0.612000	0.005070	0.000013	0.000003	0.000003
0.613000	0.005078	0.000013	0.000003	0.000003
0.614000	0.005085	0.000013	0.000003	0.000003
0.615000	0.005092	0.000014	0.000003	0.000003
0.616000	0.005100	0.000014	0.000003	0.000003
0.617000	0.005107	0.000014	0.000003	0.000003
0.618000	0.005115	0.000014	0.000003	0.000003
0.619000	0.005122	0.000014	0.000003	0.000003
0.620000	0.005129	0.000014	0.000003	0.000003
0.621000	0.005137	0.000014	0.000003	0.000003
0.622000	0.005144	0.000014	0.000003	0.000003
0.623000	0.005151	0.000014	0.000003	0.000003
0.624000	0.005159	0.000014	0.000003	0.000003
0.625000	0.005166	0.000014	0.000003	0.000003
0.626000	0.005173	0.000014	0.000003	0.000003
0.627000	0.005181	0.000014	0.000003	0.000003
0.628000	0.005188	0.000014	0.000003	0.000003
0.629000	0.005195	0.000014	0.000003	0.000003
0.630000	0.005203	0.000014	0.000003	0.000003
0.631000	0.005210	0.000014	0.000003	0.000003
0.632000	0.005217	0.000014	0.000003	0.000003
0.633000	0.005225	0.000014	0.000003	0.000003
0.634000	0.005232	0.000014	0.000003	0.000003
0.635000	0.005239	0.000014	0.000003	0.000003
0.636000	0.005247	0.000014	0.000003	0.000003
0.637000	0.005254	0.000014	0.000003	0.000003
0.638000	0.005261	0.000014	0.000003	0.000003
0.639000	0.005269	0.000015	0.000003	0.000003
0.640000	0.005276	0.000015	0.000003	0.000003
0.641000	0.005283	0.000015	0.000003	0.000003
0.642000	0.005291	0.000015	0.000003	0.000003
0.643000	0.005298	0.000015	0.000003	0.000003
0.644000	0.005305	0.000015	0.000003	0.000003
0.645000	0.005312	0.000015	0.000003	0.000003
0.646000	0.005320	0.000015	0.000003	0.000003
0.647000	0.005327	0.000015	0.000003	0.000003
0.648000	0.005334	0.000015	0.000003	0.000003
0.649000	0.005342	0.000015	0.000003	0.000003
0.650000	0.005349	0.000015	0.000003	0.000003
0.651000	0.005356	0.000015	0.000003	0.000003
0.652000	0.005363	0.000015	0.000003	0.000003
0.653000	0.005371	0.000015	0.000003	0.000003
0.654000	0.005378	0.000015	0.000003	0.000003
0.655000	0.005385	0.000015	0.000003	0.000003
0.656000	0.005392	0.000015	0.000003	0.000003
0.657000	0.005400	0.000015	0.000003	0.000003
0.658000	0.005407	0.000015	0.000003	0.000003
0.659000	0.005414	0.000015	0.000003	0.000003
0.660000	0.005422	0.000015	0.000004	0.000004
0.661000	0.005429	0.000015	0.000004	0.000004
0.662000	0.005436	0.000016	0.000004	0.000004
0.663000	0.005443	0.000016	0.000004	0.000004
0.664000	0.005450	0.000016	0.000004	0.000004
0.665000	0.005458	0.000016	0.000004	0.000004
0.666000	0.005465	0.000016	0.000004	0.000004
0.667000	0.005472	0.000016	0.000004	0.000004
0.668000	0.005479	0.000016	0.000004	0.000004
0.669000	0.005487	0.000016	0.000004	0.000004
0.670000	0.005494	0.000016	0.000004	0.000004
0.671000	0.005501	0.000016	0.000004	0.000004
0.672000	0.005508	0.000016	0.000004	0.000004
0.673000	0.005516	0.000016	0.000004	0.000004
0.674000	0.005523	0.000016	0.000004	0.000004
0.675000	0.005530	0.000016	0.000004	0.000004
0.676000	0.005537	0.000016	0.000004	0.000004
0.677000	0.005544	0.000016	0.000004	0.000004
0.678000	0.005552	0.000016	0.000004	0.000004
0.679000	0.005559	0.000016	0.000004	0.000004
0.680000	0.005566	0.000016	0.000004	0.000004
0.681000	0.005573	0.000016	0.000004	0.000004
0.682000	0.005580	0.000016	0.000004	0.000004
0.683000	0.005588	0.000016	0.000004	0.000004
0.684000	0.005595	0.000017	0.000004	0.000004
0.685000	0.005602	0.000017	0.000004	0.000004
0.686000	0.005609	0.000017	0.000004	0.000004
0.687000	0.005616	0.000017	0.000004	0.000004
0.688000	0.005623	0.000017	0.000004	0.000004
0.689000	0.005631	0.000017	0.000004	0.000004
0.690000	0.005638	0.000017	0.000004	0.000004
0.691000	0.005645	0.000017	0.000004	0.000004
0.692000	0.005652	0.000017	0.000004	0.000004
0.693000	0.005659	0.000017	0.000004	0.000004
0.694000	0.005667	0.000017	0.000004	0.000004
0.695000	0.005674	0.000017	0.000004	0.000004
0.696000	0.005681	0.000017	0.000004	0.000004
0.697000	0.005688	0.000017	0.000004	0.000004
0.698000	0.005695	0.000017	0.000004	0.000004
0.699000	0.005702	0.000017	0.000004	0.000004
0.700000	0.005709	0.000017	0.000004	0.000004
0.701000	0.005717	0.000017	0.000004	0.000004
0.702000	0.005724	0.000017	0.000004	0.000004
0.703000	0.005731	0.000017	0.000004	0.000004
0.704000	0.005738	0.000017	0.000004	0.000004
0.705000	0.005745	0.000017	0.000004	0.000004
0.706000	0.005752	0.000018	0.000004	0.000004
0.707000	0.005759	0.000018	0.000004	0.000004
0.708000	0.005766	0.000018	0.000004	0.000004
0.709000	0.005774	0.000018	0.000004	0.000004
0.710000	0.005781	0.000018	0.000004	0.000004
0.711000	0.005788	0.000018	0.000004	0.000004
0.712000	0.005795	0.000018	0.000004	0.000004
0.713000	0.005802	0.000018	0.000004	0.000004
0.714000	0.005809	0.000018	0.000004	0.000004
0.715000	0.005816	0.000018	0.000004	0.000004
0.716000	0.005823	0.000018	0.000004	0.000004
