Time,x1,x2,x3,y
0.151,0.0013597705394869024,8.855345414728451e-07,4.487682872570111e-08,4.487682872570111e-08
0.152,0.0013685245588130742,8.971407586174649e-07,4.576816025369515e-08,4.576816025369515e-08
0.153,0.0013772753365102048,9.088204200686188e-07,4.6671134724371067e-08,4.6671134724371067e-08
0.154,0.001386022873778675,9.205734852270921e-07,4.7585825561734344e-08,4.7585825561734344e-08
0.155,0.0013947671718184216,9.323999135110143e-07,4.851230614919992e-08,4.851230614919992e-08
0.156,0.0014035082318289366,9.44299664355853e-07,4.9450649829609534e-08,4.9450649829609534e-08
0.157,0.001412246055009268,9.562726972144065e-07,5.0400929905249055e-08,5.0400929905249055e-08
0.158,0.0014209806425580199,9.683189715567973e-07,5.136321963786581e-08,5.136321963786581e-08
0.159,0.0014297119956733525,9.804384468704654e-07,5.2337592248685926e-08,5.2337592248685926e-08
0.16,0.0014384401155529824,9.926310826601609e-07,5.3324120918431604e-08,5.3324120918431604e-08
0.161,0.0014471650033941823,1.0048968384479378e-06,5.432287878733846e-08,5.432287878733846e-08
0.162,0.001455886660393782,1.0172356737731468e-06,5.5333938955172814e-08,5.5333938955172814e-08
0.163,0.0014646050877481678,1.029647548192429e-06,5.635737448124897e-08,5.635737448124897e-08
0.164,0.0014733202866532831,1.0421324212797082e-06,5.739325838444652e-08,5.739325838444652e-08
0.165,0.0014820322583046287,1.0546902526261855e-06,5.844166364322764e-08,5.844166364322764e-08
0.166,0.0014907410038972621,1.0673210018403308e-06,5.95026631956543e-08,5.95026631956543e-08
0.167,0.001499446524625799,1.0800246285478774e-06,6.057632993940562e-08,6.057632993940562e-08
0.168,0.001508148821684412,1.0928010923918149e-06,6.166273673179505e-08,6.166273673179505e-08
0.169,0.0015168478962668322,1.1056503530323815e-06,6.276195638978765e-08,6.276195638978765e-08
0.17,0.001525543749566348,1.1185723701470586e-06,6.387406169001737e-08,6.387406169001737e-08
0.171,0.0015342363827758065,1.1315671034305628e-06,6.499912536880424e-08,6.499912536880424e-08
